# SE UI Text Swedish Translation
# Format: KEY<TAB>Swedish text (or [E]English text if untranslated)
#
MENU_ACHIEVEMENTS	Prestationer
OVERLAY_VERB_SHORTCUTS	Verbgenvägar
OVERLAY_CLASSIC	(Klassisk)
OVERLAY_VERSION_HOTSWAP	Versionsväxling
OVERLAY_GIVE	Ge
MENU_RESOLUTION	Upplösning
MENU_FULL_SCREEN	Helskärm
MENU_APPLY	Verkställ
MENU_SPECIAL_EFFECTS	Specialeffekter
MENU_AUDIO_INIT_FAIL	Ljudenheten kunde inte initieras eller hittades inte.
MENU_FAIL_MIN_REQ	Din dator uppfyller inte minimikraven.
MENU_VIDEO_INIT_FAIL	Grafikkortet uppfyller inte kraven.
MENU_PROCESOR_FAIL_REQ	Processorn uppfyller inte kraven.
MENU_APP_EXIT_NOW	Programmet avslutas nu.
MENU_ERR_CODE	Kod:
